,hypernym,term,tree_id,train_test_split
106,化学族,氰基,124,train
107,化学族,苯甲基,124,train
108,化学族,发色团,124,train
109,亚硝酸根,亚硝酸钠,124,train
110,酰基,乙酰基,124,train
111,烃基,乙基,124,train
112,水晶,玉髓,125,train
113,水晶,紫水晶,125,train
114,水晶,茶晶,125,train
115,水晶,水晶,125,train
116,水晶,烟水晶,125,train
117,水晶,矿金石,125,train
118,水晶,玫瑰晶,125,train
119,水晶,莱茵石,125,train
120,玉髓,鸡血石,125,train
121,玉髓,深绿玉髓,125,train
122,玉髓,红玉髓,125,train
123,玉髓,光玉髓,125,train
124,玉髓,绿玉髓,125,train
125,玉髓,玛瑙,125,train
126,矿金石,嵌有黄铜粉的茶色玻璃,125,train
127,玛瑙,藓纹玛瑙,125,train
128,核反应,衰变,127,train
129,核反应,核子融合,127,train
130,核反应,收能反应,127,train
131,核反应,分裂,127,train
132,核反应,放能核反应,127,train
133,核反应,核分裂,127,train
134,核反应,链反应,127,train
135,衰变,β衰变,127,train
136,衰变,蜕变,127,train
137,核子融合,低温核融合,127,train
138,核子融合,热核反应,127,train
139,热核反应,热核反应,127,train
140,报警系统,自动报警器,129,train
141,报警系统,火警报警器,129,train
142,报警系统,喇叭,129,train
143,报警系统,警报器,129,train
144,警报器,雾号,129,train
145,警报器,气喇叭,129,train
146,警报器,喇叭,129,train
147,雾号,雾笛,129,train
148,率,动态粘滞度,13,train
149,率,透射,13,train
150,率,拖拽系数,13,train
151,率,自感,13,train
152,率,权,13,train
153,率,吸收比,13,train
154,率,反射比,13,train
155,率,模数,13,train
156,率,电感系数,13,train
157,率,摩擦系数,13,train
158,率,膨胀系数,13,train
159,模数,弹性系数,13,train
160,弹性系数,体积弹性模量,13,train
161,弹性系数,刚性模数,13,train
162,弹性系数,弹性模量,13,train
163,皮炎,脂溢性皮炎,130,train
164,皮炎,光化性皮炎,130,train
165,皮炎,乳痂,130,train
166,皮炎,金丝桃素,130,train
167,皮炎,血吸虫皮炎,130,train
168,皮炎,神经性皮炎,130,train
169,皮炎,尿布皮炎,130,train
170,皮炎,接触性皮炎,130,train
171,接触性皮炎,漆树皮炎,130,train
172,漆树皮炎,毒藤皮疹,130,train
173,餐,自助餐,135,train
174,餐,早餐,135,train
175,餐,午餐,135,train
176,餐,宴会,135,train
177,餐,小吃,135,train
178,餐,正餐,135,train
179,贫血,缺铁性贫血,137,train
180,贫血,增多病,137,train
181,贫血,局部缺血,137,train
182,贫血,恶性贫血,137,train
183,贫血,范康尼贫血,137,train
184,贫血,难治性贫血,137,train
185,贫血,贫血,137,train
186,贫血,溶血性贫血,137,train
187,贫血,蚕豆病,137,train
188,贫血,地中海贫血,137,train
189,缺铁性贫血,缺绿病,137,train
190,局部缺血,短暂性脑缺血,137,train
191,局部缺血,缺血性中风,137,train
192,恶性贫血,化生性贫血,137,train
193,地中海贫血,库利氏贫血,137,train
194,婚姻状况,守寡,138,train
195,婚姻状况,公民结合,138,train
196,婚姻状况,未婚,138,train
197,婚姻状况,婚姻,138,train
198,婚姻状况,独身,138,train
199,婚姻,同部族婚姻,138,train
200,婚姻,开放婚姻,138,train
201,婚姻,异族结婚,138,train
202,婚姻,普通法婚姻,138,train
203,婚姻,一夫多妻,138,train
204,婚姻,一夫一妻制,138,train
205,婚姻,重婚,138,train
206,婚姻,利益婚姻,138,train
207,婚姻,一夫制,138,train
208,一夫多妻,一妻多夫,138,train
209,一夫多妻,一夫多妻,138,train
210,一夫一妻制,一夫一妻制,138,train
211,一夫一妻制,一妻制,138,train
212,耦合器,U形钩,143,train
213,耦合器,离合器,143,train
214,耦合器,液体传动,143,train
215,离合器,自由飞轮,143,train
216,离合器,摩擦离合器,143,train
217,摩擦离合器,圆盘离合器,143,train
218,虫,毛颚类海虫,145,train
219,虫,环节动物,145,train
220,虫,棘头虫,145,train
221,环节动物,原环虫类,145,train
222,环节动物,寡毛纲,145,train
223,环节动物,多毛目环节动物,145,train
224,环节动物,吸血动物,145,train
225,寡毛纲,蚯蚓,145,train
226,多毛目环节动物,沙蚕,145,train
227,多毛目环节动物,鳞沙蚕,145,train
228,多毛目环节动物,红虫,145,train
229,吸血动物,药用水蛭,145,train
230,吸血动物,马蝗,145,train
231,投机,打赌,147,train
232,优势,垄断,148,train
233,优势,被统治,148,train
234,优势,专制政治,148,train
235,优势,主权,148,train
236,优势,主要地位,148,train
237,优势,最高权力,148,train
238,优势,优势,148,train
239,主权,统治,148,train
240,主权,宗主地位,148,train
241,主权,最高权威,148,train
242,主权,君主统治,148,train
243,最高权力,卓越,148,train
244,君主统治,君权,148,train
245,业务关系,指导关系,149,train
246,业务关系,医患关系,149,train
247,业务关系,法律关系,149,train
248,指导关系,师生关系,149,train
249,医患关系,护患关系,149,train
250,医患关系,医患关系,149,train
251,法律关系,委托关系,149,train
252,委托关系,顾问关系,149,train
253,委托关系,合作关系,149,train
254,委托关系,债务关系,149,train
255,委托关系,监护者义务,149,train
256,配制品,上光剂,155,train
257,配制品,甘油明胶,155,train
258,配制品,嗅盐,155,train
259,配制品,去污剂,155,train
260,上光剂,汽车蜡,155,train
261,上光剂,鞋油,155,train
262,去污剂,牙粉,155,train
263,去污剂,清洁剂,155,train
264,去污剂,肥皂,155,train
265,去污剂,浴室清洁,155,train
266,清洁剂,洗涤液,155,train
267,清洁剂,洗衣粉,155,train
268,肥皂,液体肥皂,155,train
269,肥皂,条状肥皂,155,train
270,肥皂,橄榄香皂,155,train
271,学识,经历,161,train
272,派,苹果派,163,train
273,椅子,草坪躺椅,164,train
274,椅子,梯式靠背椅,164,train
275,椅子,折叠椅,164,train
276,椅子,躺倚,164,train
277,椅子,埃姆斯椅,164,train
278,椅子,钓鱼椅,164,train
279,椅子,扶手椅,164,train
280,椅子,理发椅,164,train
281,椅子,高椅,164,train
282,折叠椅,甲板躺椅,164,train
283,折叠椅,轻便折椅,164,train
284,扶手椅,太师椅,164,train
285,扶手椅,沙发椅,164,train
286,扶手椅,船长椅,164,train
287,扶手椅,安乐椅,164,train
288,雕刻品,五瓣花饰,169,train
289,雕刻品,雕刻艺术,169,train
290,雕刻艺术,浅型浮雕,169,train
291,雕刻艺术,宝石雕刻术,169,train
292,雕刻艺术,浮雕,169,train
293,雕刻艺术,凹雕,169,train
294,浅型浮雕,凸雕,169,train
295,教导,课,17,train
296,课,研究会,17,train
297,课,成人教育,17,train
298,课,专题讨论会,17,train
299,课,美术课,17,train
300,引诱物,带钩的鱼饵,170,train
301,引诱物,鱼饵,170,train
302,带钩的鱼饵,假蝇饵,170,train
303,假蝇饵,假蝇,170,train
304,控制药物,大麻,174,train
305,控制药物,致瘾的麻醉品,174,train
306,控制药物,麦角酰二乙胺,174,train
307,控制药物,俱乐部毒品,174,train
308,控制药物,中枢兴奋药,174,train
309,大麻,大麻,174,train
310,大麻,金叶大麻,174,train
311,致瘾的麻醉品,二乙酰吗啡,174,train
312,致瘾的麻醉品,古柯碱,174,train
313,麦角酰二乙胺,迷幻药,174,train
314,俱乐部毒品,麻醉剂,174,train
315,俱乐部毒品,摇头丸,174,train
316,俱乐部毒品,凯特明,174,train
317,俱乐部毒品,洛海普诺,174,train
318,二乙酰吗啡,海洛因,174,train
319,古柯碱,强效纯可卡因,174,train
320,古柯碱,可卡因,174,train
321,摇头丸,摇头丸,174,train
322,凯特明,克他命,174,train
323,海雀,大海鸟,177,train
324,海雀,刀嘴海雀,177,train
325,海雀,海雀,177,train
326,海雀,小海雀,177,train
327,海雀,小海鸟,177,train
328,海雀,海鸠,177,train
329,海雀,海鸦,177,train
330,海雀,海鸽,177,train
331,海鸦,厚嘴海鸦,177,train
332,海鸦,海鸦,177,train
333,成就,读写能力,178,train
334,成就,工艺,178,train
335,动乱,暴行,18,train
336,动乱,无秩序,18,train
337,动乱,不一致,18,train
338,动乱,喧闹,18,train
339,动乱,不稳固,18,train
340,动乱,动荡,18,train
341,动乱,无政府状态,18,train
342,动乱,动乱,18,train
343,动乱,暴力,18,train
344,动乱,急速变化,18,train
345,动乱,愤怒,18,train
346,无秩序,杂乱,18,train
347,无秩序,吵闹,18,train
348,无秩序,大混乱,18,train
349,无秩序,士气消沉,18,train
350,动荡,动乱,18,train
351,动荡,动乱中心,18,train
352,动荡,地震,18,train
353,动荡,剧变,18,train
354,动荡,大动乱,18,train
355,动荡,事件,18,train
356,无政府状态,怀疑论,18,train
357,大混乱,混乱,18,train
358,暴力,狂暴,18,train
359,苹果树,欧洲苹果树,180,train
360,苹果树,苹果,180,train
361,苹果树,野苹果,180,train
362,欧洲苹果树,山丁子,180,train
363,野苹果,欧洲野苹果,180,train
364,裂开的状态,棰间板疝气,181,train
365,裂开的状态,小肠串气,181,train
366,小肠串气,脐突出,181,train
367,小肠串气,憩室,181,train
368,小肠串气,腹脏突出,181,train
369,小肠串气,阴道疝,181,train
370,小肠串气,脂肪疝,181,train
371,小肠串气,角膜深层突出,181,train
372,小肠串气,腹股沟疝气,181,train
373,小肠串气,裂口疝,181,train
374,憩室,迈克尔氏憩室,181,train
375,阴道疝,直肠突出,181,train
376,阴道疝,膀胱突出症,181,train
377,结,渔人结,182,train
378,结,同心结,182,train
379,结,头饰,182,train
380,结,蝴蝶结,182,train
381,结,戈尔迪之结,182,train
382,结,结,182,train
383,结,丁香结,182,train
384,结,半结,182,train
385,结,8字形,182,train
386,结,管结,182,train
387,结,绳结,182,train
388,结,单花钩结,182,train
389,头饰,单套结,182,train
390,保险,拯救,183,train
391,保险,不会受伤害,183,train
392,保险,无风险,183,train
393,保险,保卫,183,train
394,保险,生物安全,183,train
395,保卫,和睦,183,train
396,保卫,保卫,183,train
397,保卫,安全,183,train
398,保卫,保险,183,train
399,保卫,放射防护,183,train
400,屋顶,复折形屋顶,187,train
401,屋顶,圆屋顶,187,train
402,屋顶,鞍状屋顶,187,train
403,屋顶,四坡屋顶,187,train
404,屋顶,屋顶,187,train
405,圆屋顶,穹顶,187,train
406,圆屋顶,网格球形穹顶,187,train
407,圆屋顶,天体观测室,187,train
408,鞍状屋顶,复折式屋顶,187,train
409,成功,喜悦,189,train
410,支撑,横杆,19,train
411,支撑,支索,19,train
412,支撑,结点板,19,train
413,横杆,横木,19,train
414,横杆,横档,19,train
415,硬币,硬币,190,train
416,硬币,达布隆,190,train
417,硬币,三便士,190,train
418,硬币,五元金币,190,train
419,硬币,零钱,190,train
420,硬币,六便士,190,train
421,硬币,几尼,190,train
422,硬币,一角银币,190,train
423,硬币,半便士,190,train
424,硬币,法寻,190,train
425,硬币,达克特,190,train
426,硬币,银鹰徽金币,190,train
427,硬币,一分,190,train
428,硬币,二角五分硬币,190,train
429,硬币,西班牙古银币,190,train
430,硬币,两便士,190,train
431,硬币,五便士,190,train
432,硬币,金银币,190,train
433,硬币,五分钱,190,train
434,硬币,十便士,190,train
435,硬币,八便士,190,train
436,硬币,四便士,190,train
437,硬币,九便士,190,train
438,硬币,无价值之物,190,train
439,硬币,路易金元,190,train
440,硬币,丹尼尔,190,train
441,硬币,五角硬币,190,train
442,硬币,古代罗马金币,190,train
443,硬币,一先令硬币,190,train
444,硬币,五先令,190,train
445,一分,铜币,190,train
446,比例,比例,191,train
447,比例,比率,191,train
448,比例,感染发生比例,191,train
449,比例,黄金分割,191,train
450,比例,击球率,191,train
451,比率,空房率,191,train
452,比率,失业率,191,train
453,比率,居住率,191,train
454,比率,缺勤率,191,train
455,居住率,酒店入住率,191,train
456,居住率,病床住用率,191,train
457,储备,储备基金,192,train
458,储备,储备金,192,train
459,储备,燃油油位,192,train
460,储备基金,集合基金,192,train
461,储备基金,秘密公积金,192,train
462,储备基金,评价准备金,192,train
463,储备金,血库,192,train
464,储备金,眼库,192,train
465,储备金,粮食银行,192,train
466,储备金,土地银行,192,train
467,秘密公积金,管理储备金,192,train
468,葡萄糖甙,毒毛旋花甙,194,train
469,葡萄糖甙,葡萄糖苷,194,train
470,葡萄糖苷,扁桃苷,194,train
471,葡萄糖苷,皂素,194,train
472,扁桃苷,扁桃苷制剂,194,train
473,钢,表面渗碳硬化钢,195,train
474,钢,结构钢,195,train
475,钢,大马士革钢,195,train
476,钢,合金钢,195,train
477,钢,碳素钢,195,train
478,钢,奥氏体钢,195,train
479,钢,凿钢,195,train
480,钢,坩埚钢,195,train
481,合金钢,铬钨钢,195,train
482,合金钢,不锈钢,195,train
483,碳素钢,共析钢,195,train
484,碳素钢,钻杆,195,train
485,评判员,推事,196,train
486,排泄物,小便,2,train
487,排泄物,大便,2,train
488,排泄物,呕吐物,2,train
489,排泄物,蚯蚓粪,2,train
490,排泄物,人类粪便,2,train
491,排泄物,虫粪,2,train
492,排泄物,海鸟粪,2,train
493,大便,屎,2,train
494,大便,黑粪症,2,train
495,大便,胎便,2,train
496,大便,大便,2,train
497,屎,牛粪,2,train
498,屎,鸽子粪便,2,train
499,尿路病,肾病,20,train
500,肾病,多囊肾,20,train
501,肾病,肾功能不全,20,train
502,肾病,肾衰竭,20,train
503,肾病,多尿,20,train
504,肾病,肾炎,20,train
505,肾病,肾硬化,20,train
506,肾炎,肾小球性肾炎,20,train
507,饱和脂肪酸,辛酸,204,train
508,饱和脂肪酸,丁酸,204,train
509,饱和脂肪酸,硬脂酸,204,train
510,饱和脂肪酸,己酸,204,train
511,饱和脂肪酸,癸酸,204,train
512,饱和脂肪酸,十七烷酸,204,train
513,皮,漆皮,21,train
514,皮,细亚绒绵羊手套革,21,train
515,皮,手套皮,21,train
516,皮,植鞣绒面革,21,train
517,皮,鹿皮,21,train
518,皮,科尔瓦多皮革,21,train
519,皮,柔软的羊皮,21,train
520,皮,羔皮,21,train
521,皮,牛皮,21,train
522,皮,白革,21,train
523,皮,猪皮,21,train
524,皮,马革,21,train
525,皮,绒面革,21,train
526,皮,俄罗斯皮革,21,train
527,皮,带毛绵羊革,21,train
528,皮,仿植鞣山羊搓纹革,21,train
529,皮,鹿皮或山羊皮,21,train
530,皮,小山羊皮,21,train
531,皮,短吻鳄皮革,21,train
532,皮,制鞋皮革,21,train
533,皮,压光皮革,21,train
534,皮,小牛皮,21,train
535,羔皮,可洗皮革,21,train
536,带毛绵羊革,金羊毛,21,train
537,仿植鞣山羊搓纹革,上等摩洛哥纹皮,21,train
538,小牛皮,皮犊纹皮,21,train
539,土,泥灰土,210,train
540,土,沉积粘土,210,train
541,土,冲积土,210,train
542,土,岩层土,210,train
543,土,漂白土,210,train
544,土,硬化粘土,210,train
545,土,砂砾层,210,train
546,土,上层土,210,train
547,土,灰化土,210,train
548,土,沼泽土,210,train
549,土,粘土,210,train
550,土,底土,210,train
551,土,红玄武土,210,train
552,土,淤泥,210,train
553,土,残积土,210,train
554,土,泥,210,train
555,土,普列利土,210,train
556,土,荒漠土,210,train
557,土,沙,210,train
558,粘土,火泥,210,train
559,粘土,粘土,210,train
560,粘土,涂料,210,train
561,粘土,猫砂,210,train
562,粘土,白粘土,210,train
563,粘土,膨润土,210,train
564,粘土,白土,210,train
565,粘土,瓷土,210,train
566,粘土,多孔粘土,210,train
567,粘土,陶饰土,210,train
568,泥,泥团,210,train
569,泥,漂白土,210,train
570,电声传感器,喇叭,215,train
571,电声传感器,扩音器,215,train
572,电声传感器,唱臂,215,train
573,电声传感器,受话器,215,train
574,喇叭,手提式扩音器,215,train
575,扩音器,晶体传声器,215,train
576,扩音器,窃听器,215,train
577,扩音器,电容麦克风,215,train
578,唱臂,晶体拾音器,215,train
579,软甲亚纲动物,等脚类的动物,217,train
580,软甲亚纲动物,磷虾,217,train
581,软甲亚纲动物,异脚类,217,train
582,软甲亚纲动物,糠虾,217,train
583,等脚类的动物,海岸水虱,217,train
584,等脚类的动物,潮虫,217,train
585,磷虾,太平洋磷虾,217,train
586,异脚类,鲸虱,217,train
587,异脚类,排骨虾,217,train
588,异脚类,沙蚤,217,train
589,潮虫,潮虫,217,train
590,潮虫,丸虾,217,train
591,抗病毒物质,干扰素,218,train
592,干扰素,α干扰素,218,train
593,干扰素,γ干扰素,218,train
594,干扰素,β干扰素,218,train
595,胺,尸毒,219,train
596,胺,烯胺,219,train
597,胺,苯胺,219,train
598,尸毒,腐胺,219,train
599,命令,禁令,222,train
600,单壳软体动物,片状毛坯,223,train
601,单壳软体动物,海螺,223,train
602,单壳软体动物,气泡壳,223,train
603,单壳软体动物,宝贝,223,train
604,单壳软体动物,圆基,223,train
605,单壳软体动物,海兔,223,train
606,单壳软体动物,无板亚纲,223,train
607,单壳软体动物,蜗牛,223,train
608,单壳软体动物,海参,223,train
609,单壳软体动物,大鲍,223,train
610,单壳软体动物,盾螺,223,train
611,海螺,大凤螺,223,train
612,海螺,蜒螺,223,train
613,海螺,海月贝,223,train
614,海螺,帽贝,223,train
615,海螺,食用螺,223,train
616,海螺,嵌线螺科,223,train
617,海螺,峨螺,223,train
618,宝贝,虎斑宝贝,223,train
619,宝贝,贝币,223,train
620,蜗牛,食用蜗牛,223,train
621,海参,海蛤蝓,223,train
622,大鲍,石决明,223,train
623,蜒螺,河蜑螺属,223,train
624,蜒螺,蜒螺,223,train
625,蜒螺,血齿蜒螺,223,train
626,帽贝,帽贝,223,train
627,帽贝,透孔螺,223,train
628,函数,坐标转换,224,train
629,函数,度量,224,train
630,函数,三角函数,224,train
631,函数,阈函数,224,train
632,函数,反函数,224,train
633,函数,等距,224,train
634,函数,指数函数,224,train
635,函数,克罗内克函数,224,train
636,函数,算子,224,train
637,坐标转换,坐标转换,224,train
638,坐标转换,仿射变换,224,train
639,坐标转换,转换,224,train
640,坐标转换,旋转,224,train
641,三角函数,正切,224,train
642,三角函数,正割,224,train
643,三角函数,正弦,224,train
644,三角函数,余切,224,train
645,三角函数,余弦,224,train
646,三角函数,余割,224,train
647,算子,线性运算符,224,train
648,算子,恒等式,224,train
649,必要,不足,225,train
650,必要,必需品,225,train
651,不足,银根紧,225,train
652,不足,缺少矿物质,225,train
653,不足,缺乏,225,train
654,不足,不在,225,train
655,必需品,紧急,225,train
656,必需品,必须的,225,train
657,缺少矿物质,铁质缺乏,225,train
658,不在,不发生,225,train
659,紧急,临界状态,225,train
660,紧急,仓促,225,train
661,紧急,急迫,225,train
662,覆盖材料,玻璃丝,227,train
663,覆盖材料,胶土,227,train
664,覆盖材料,灰泥,227,train
665,灰泥,面涂层,227,train
666,灰泥,灰泥,227,train
667,灰泥,抹墙粉,227,train
668,灰泥,毛坯,227,train
669,灰泥,水泥浆,227,train
670,阔鼻猴,松鼠猴,24,train
671,阔鼻猴,吼猴,24,train
672,阔鼻猴,伶猴,24,train
673,阔鼻猴,秃猴,24,train
674,阔鼻猴,卷尾猴,24,train
675,阔鼻猴,兔猴,24,train
676,阔鼻猴,小猿,24,train
677,阔鼻猴,蛛猴,24,train
678,阔鼻猴,粗尾猿,24,train
679,阔鼻猴,夜猴,24,train
680,小猿,小绢猴,24,train
681,小猿,倭狨,24,train
682,小猿,狨,24,train
683,小绢猴,狮狨,24,train
684,小绢猴,獠牙狨,24,train
685,坚果,小坚果,241,train
686,坚果,棕榈仁,241,train
687,小坚果,分核,241,train
688,发作,焦点发作,243,train
689,发作,癫痫小发作,243,train
690,发作,痉挛,243,train
691,癫痫小发作,亚临床损伤,243,train
692,痉挛,癫痫发作,243,train
693,痉挛,抽筋,243,train
694,癫痫发作,大发作,243,train
695,癫痫发作,癫痫小发作,243,train
696,措辞,咨询和同意,244,train
697,措辞,有关解剖学的表达,244,train
698,措辞,模棱两可的表达,244,train
699,措辞,口号,244,train
700,模棱两可的表达,模棱两可的言词,244,train
701,配件,煤气装置,247,train
702,卡车,消防车,248,train
703,卡车,货车,248,train
704,卡车,垃圾车,248,train
705,卡车,自倾货车,248,train
706,卡车,卡车,248,train
707,货车,送奶车,248,train
708,货车,汽车图书馆,248,train
709,货车,衣物运送车,248,train
710,住宅,艏楼,25,train
711,住宅,闺房,25,train
712,住宅,寄宿处,25,train
713,住宅,住处,25,train
714,住宅,学生宿舍,25,train
715,住处,公寓,25,train
716,住处,一流的铺位,25,train
717,住处,二等舱,25,train
718,学生宿舍,大学公寓,25,train
719,公寓,小客栈,25,train
720,心境,不幸福,251,train
721,心境,好运气,251,train
722,心境,兴高采烈,251,train
723,心境,困窘,251,train
724,心境,动荡,251,train
725,心境,满意,251,train
726,不幸福,愤懑,251,train
727,不幸福,伤心,251,train
728,好运气,容光焕发,251,train
729,好运气,幸福,251,train
730,满意,生活质量,251,train
731,伤心,刻薄,251,train
732,伤心,丧亲,251,train
733,幸福,入寂,251,train
734,心理学,应用心理学,252,train
735,心理学,病态心理学,252,train
736,机能不良,瘫痪,254,train
737,机能不良,勃起功能障碍,254,train
738,瘫痪,哑,254,train
739,瘫痪,无动力,254,train
740,瘫痪,四肢瘫痪,254,train
741,瘫痪,欧勃氏麻痹,254,train
742,瘫痪,局部麻痹,254,train
743,瘫痪,偏瘫,254,train
744,瘫痪,膀胱麻痹,254,train
745,瘫痪,眼肌瘫痪,254,train
746,瘫痪,两侧麻痹,254,train
747,瘫痪,单瘫,254,train
748,瘫痪,下身麻痹,254,train
749,局部麻痹,下肢轻瘫,254,train
750,换相,液化,255,train
751,换相,熔化,255,train
752,换相,汽化,255,train
753,换相,凝固,255,train
754,液化,溶解,255,train
755,汽化,暗晦,255,train
756,汽化,沸腾,255,train
757,汽化,冒烟,255,train
758,凝固,冷冻干燥法,255,train
759,凝固,结霜,255,train
760,沸腾,煎煮,255,train
761,调查员,理赔代理人,256,train
762,调查员,检查员,256,train
763,发育不良,异常增大,257,train
764,发育不良,发育不全,257,train
765,发育不良,增生,257,train
766,发育不良,先天萎缩,257,train
767,发育不良,异常增殖症,257,train
768,发育不良,退行发育,257,train
769,异常增大,巨指,257,train
770,异常增大,脾大,257,train
771,异常增大,巨大症,257,train
772,异常增大,肺源性心脏病,257,train
773,异常增大,腺体增大,257,train
774,异常增大,象皮病,257,train
775,异常增大,肢端肥大症,257,train
776,增生,前列腺增生症,257,train
777,象皮病,阴囊象皮病,257,train
778,象皮病,皮肤肥厚,257,train
779,职业,飞机技工,258,train
780,摘要,草拟,26,train
781,摘要,大意,26,train
782,摘要,总的看法,26,train
783,摘要,论点,26,train
784,大意,梗概,26,train
785,电池,燃料电池,260,train
786,电池,电解电池,260,train
787,操作,同步运作,263,train
788,操作,搜索,263,train
789,操作,固定周期运算,263,train
790,操作,二操作数运算,263,train
791,操作,串行操作,263,train
792,操作,阈值的运算,263,train
793,操作,控制操作,263,train
794,操作,辅助作业,263,train
795,操作,二元运算,263,train
796,操作,平行运作,263,train
797,操作,显示,263,train
798,操作,分选作用,263,train
799,操作,计算机操作,263,train
800,操作,多线操作,263,train
801,操作,异步操作,263,train
802,操作,逻辑操作,263,train
803,操作,同时操作,263,train
804,操作,一元运算,263,train
805,操作,存储器存取,263,train
806,阈值的运算,四舍五入,263,train
807,显示,换行,263,train
808,显示,回车,263,train
809,计算机操作,浮点运算,263,train
810,计算机操作,存储,263,train
811,计算机操作,检索,263,train
812,存储器存取,磁盘,263,train
813,检索,检索资料,263,train
814,皮带,鞭梢,264,train
815,脚,前足,266,train
816,脚,爪,266,train
817,脚,蹼足,266,train
818,脚,猪脚,266,train
819,脚,后足,266,train
820,脚,蹄,266,train
821,脚,鸟爪,266,train
822,爪,前爪,266,train
823,蹄,马蹄,266,train
824,蹄,偶蹄,266,train
825,鸟爪,有蹼的脚,266,train
826,鸟爪,蹼足,266,train
827,鸟爪,爪,266,train
828,前爪,手,266,train
829,餐具,杯,271,train
830,餐具,蛋杯,271,train
831,餐具,瓷制的餐具,271,train
832,餐具,盘,271,train
833,杯,纸杯,271,train
834,杯,圣餐杯,271,train
835,杯,双柄杯,271,train
836,杯,咖啡杯,271,train
837,杯,祝酒杯,271,train
838,杯,大杯,271,train
839,盘,黄油盘,271,train
840,盘,船形碟,271,train
841,盘,焙盘,271,train
842,盘,贝壳碟,271,train
843,盘,碗,271,train
844,圣餐杯,圣杯,271,train
845,咖啡杯,小型咖啡杯,271,train
846,碗,谷物碗,271,train
847,碗,洗手碗,271,train
848,全身麻醉,麻醉气体,275,train
849,全身麻醉,凯特明,275,train
850,麻醉气体,三氟溴氯乙烷,275,train
851,麻醉气体,环丙烷,275,train
852,麻醉气体,异氟烷,275,train
853,麻醉气体,三氯甲烷,275,train
